,FIPS_IN,FIPS_OUT,Res_State_Name,Res_County_Name,Work_State_Name,Work_County_Name,Workers in Commuting Flow,Population,Facility
3,54069,54009,West Virginia,Brooke County,West Virginia,Ohio County,989,23858,Wheeling Field Office
4,54069,54051,West Virginia,Marshall County,West Virginia,Ohio County,4089,33170,Wheeling Field Office
5,54069,54069,West Virginia,Ohio County,West Virginia,Ohio County,14861,43521,Wheeling Field Office
0,41003,41003,Oregon,Benton County,Oregon,Benton County,30157,90650,Willamette Research Station
1,41003,41039,Oregon,Lane County,Oregon,Benton County,805,372145,Willamette Research Station
2,41003,41043,Oregon,Linn County,Oregon,Benton County,6710,122500,Willamette Research Station
3,41003,41047,Oregon,Marion County,Oregon,Benton County,830,337117,Willamette Research Station
4,41003,41053,Oregon,Polk County,Oregon,Benton County,921,81648,Willamette Research Station
0,11001,51600,Virginia,Fairfax city,District of Columbia,District of Columbia,1543,24481,William Jefferson Clinton FED Bldg
1,11001,51610,Virginia,Falls Church city,District of Columbia,District of Columbia,2318,13551,William Jefferson Clinton FED Bldg
2,11001,51683,Virginia,Manassas city,District of Columbia,District of Columbia,1126,42110,William Jefferson Clinton FED Bldg
3,11001,51685,Virginia,Manassas Park city,District of Columbia,District of Columbia,669,15269,William Jefferson Clinton FED Bldg
4,11001,11001,District of Columbia,District of Columbia,District of Columbia,District of Columbia,252256,674875,William Jefferson Clinton FED Bldg
5,11001,24003,Maryland,Anne Arundel County,District of Columbia,District of Columbia,18474,578441,William Jefferson Clinton FED Bldg
6,11001,24017,Maryland,Charles County,District of Columbia,District of Columbia,15719,162252,William Jefferson Clinton FED Bldg
7,11001,24027,Maryland,Howard County,District of Columbia,District of Columbia,9226,322360,William Jefferson Clinton FED Bldg
8,11001,24031,Maryland,Montgomery County,District of Columbia,District of Columbia,111756,1051391,William Jefferson Clinton FED Bldg
9,11001,24033,Maryland,Prince George's County,District of Columbia,District of Columbia,139856,920667,William Jefferson Clinton FED Bldg
10,11001,51013,Virginia,Arlington County,District of Columbia,District of Columbia,49463,227904,William Jefferson Clinton FED Bldg
11,11001,51059,Virginia,Fairfax County,District of Columbia,District of Columbia,96224,1126302,William Jefferson Clinton FED Bldg
12,11001,51107,Virginia,Loudoun County,District of Columbia,District of Columbia,10600,392368,William Jefferson Clinton FED Bldg
13,11001,51153,Virginia,Prince William County,District of Columbia,District of Columbia,22904,448754,William Jefferson Clinton FED Bldg
14,11001,51510,Virginia,Alexandria city,District of Columbia,District of Columbia,27707,152422,William Jefferson Clinton FED Bldg
0,17043,17031,Illinois,Cook County,Illinois,DuPage County,141403,5313828,Willowbrook Center
1,17043,17043,Illinois,DuPage County,Illinois,DuPage County,281682,940072,Willowbrook Center
2,17043,17089,Illinois,Kane County,Illinois,DuPage County,46216,541814,Willowbrook Center
3,17043,17093,Illinois,Kendall County,Illinois,DuPage County,15642,123322,Willowbrook Center
4,17043,17097,Illinois,Lake County,Illinois,DuPage County,7299,709599,Willowbrook Center
5,17043,17111,Illinois,McHenry County,Illinois,DuPage County,5721,311424,Willowbrook Center
6,17043,17197,Illinois,Will County,Illinois,DuPage County,56335,697215,Willowbrook Center
0,6073,6065,California,Riverside County,California,San Diego County,43613,2388710,Edward J. Schwartz FOB & Courthouse
1,6073,6073,California,San Diego County,California,San Diego County,1461502,3328647,Edward J. Schwartz FOB & Courthouse
0,55009,55009,Wisconsin,Brown County,Wisconsin,Brown County,115752,262762,Region 5 Green Bay Superfund Response
1,55009,55061,Wisconsin,Kewaunee County,Wisconsin,Brown County,3293,20742,Region 5 Green Bay Superfund Response
2,55009,55071,Wisconsin,Manitowoc County,Wisconsin,Brown County,2013,80989,Region 5 Green Bay Superfund Response
3,55009,55083,Wisconsin,Oconto County,Wisconsin,Brown County,7748,38656,Region 5 Green Bay Superfund Response
4,55009,55087,Wisconsin,Outagamie County,Wisconsin,Brown County,7950,187087,Region 5 Green Bay Superfund Response
5,55009,55115,Wisconsin,Shawano County,Wisconsin,Brown County,2954,41640,Region 5 Green Bay Superfund Response
0,17119,17005,Illinois,Bond County,Illinois,Madison County,1268,17130,Region 5 Collinsville Field Office
1,17119,17027,Illinois,Clinton County,Illinois,Madison County,1417,38772,Region 5 Collinsville Field Office
2,17119,17083,Illinois,Jersey County,Illinois,Madison County,3235,22850,Region 5 Collinsville Field Office
3,17119,17117,Illinois,Macoupin County,Illinois,Madison County,4276,46942,Region 5 Collinsville Field Office
4,17119,17119,Illinois,Madison County,Illinois,Madison County,75928,268295,Region 5 Collinsville Field Office
5,17119,17163,Illinois,St. Clair County,Illinois,Madison County,8263,268351,Region 5 Collinsville Field Office
6,17119,29189,Missouri,St. Louis County,Illinois,Madison County,4451,1013355,Region 5 Collinsville Field Office
7,17119,29510,Missouri,St. Louis city,Illinois,Madison County,1467,316260,Region 5 Collinsville Field Office
0,36001,36001,New York,Albany County,New York,Albany County,121606,316846,Wolf Road Building
1,36001,36021,New York,Columbia County,New York,Albany County,3005,64714,Wolf Road Building
2,36001,36039,New York,Greene County,New York,Albany County,2942,49876,Wolf Road Building
3,36001,36057,New York,Montgomery County,New York,Albany County,2400,51147,Wolf Road Building
4,36001,36083,New York,Rensselaer County,New York,Albany County,32124,162365,Wolf Road Building
5,36001,36091,New York,Saratoga County,New York,Albany County,24256,234223,Wolf Road Building
6,36001,36093,New York,Schenectady County,New York,Albany County,23847,157894,Wolf Road Building
0,16001,16001,Idaho,Ada County,Idaho,Ada County,181626,454935,Boise CID
1,16001,16027,Idaho,Canyon County,Idaho,Ada County,27337,213854,Boise CID
0,30053,16055,Idaho,Kootenai County,Montana,Lincoln County,160,157914,Libby Field Office
1,30053,30029,Montana,Flathead County,Montana,Lincoln County,116,99637,Libby Field Office
2,30053,30053,Montana,Lincoln County,Montana,Lincoln County,6207,19621,Libby Field Office
,78,78,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,-1,106235,Caribbean Environmental Protection Division - The Tunick Building
